clade,species,copy,copy_id,cds_len_nt,protein_aa,n_exons,ORF_status,has_RNAseq,RNAseq_tissue,RNAseq_status_per_copy,RNAseq_seq_exact_match
Iguania,Sceloporus_undulatus,C9A,Sceloporus_undulatus_C9A,1776,591,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=203093; locus_cov=1.00,"CONFIRMED_exact (pid=99.61%,cov=1.000)"
Boidae/Pythonidae,Candoia_aspera,C9A,Candoia_aspera_C9A,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=114671; locus_cov=1.00,"CONFIRMED_exact (pid=100.00%,cov=1.000)"
Boidae/Pythonidae,Liasis_olivaceus,C9A,Liasis_olivaceus_C9A,1749,582,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Boidae/Pythonidae,Python_bivittatus,C9A,Python_bivittatus_C9A,1749,582,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=2157; locus_cov=1.00,—
Colubridae,Arizona_elegans,C9A,Arizona_elegans_C9A,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=9196; locus_cov=1.00,—
Colubridae,Arizona_elegans,C9B,Arizona_elegans_C9B,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=15; locus_cov=0.24,—
Colubridae,Arizona_elegans,C9C,Arizona_elegans_C9C,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=50; locus_cov=0.58,—
Colubridae,Chrysopelea_ornata,C9A,Chrysopelea_ornata_C9A,1755,584,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Colubridae,Hemorrhois_hippocrepis,C9A,Hemorrhois_hippocrepis_C9A,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=139661; locus_cov=1.00,"CONFIRMED_exact (pid=99.72%,cov=1.008)"
Colubridae,Hemorrhois_hippocrepis,C9B,Hemorrhois_hippocrepis_C9B,1749,582,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=4290; locus_cov=0.93,"CHIMERIC_consensus:NOT_rnaseq-confirmable(genome/NCBI-validated) (pid=NA%,cov=NA)"
Colubridae,Hemorrhois_hippocrepis,C9C,Hemorrhois_hippocrepis_C9C,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=106; locus_cov=0.93,"CONFIRMED_partial(minor-mix) (pid=98.99%,cov=0.902)"
Colubridae,Malpolon_monspessulanus,C9A,Malpolon_monspessulanus_C9A,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver;lung,intact; reads=331136; locus_cov=0.90,—
Colubridae,Malpolon_monspessulanus,C9B,Malpolon_monspessulanus_C9B,1749,582,11,intact (ATG start / stop / 0 internal),yes,liver;lung,intact; reads=1052; locus_cov=0.90,—
Colubridae,Masticophis_lateralis,C9A,Masticophis_lateralis_C9A,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=32178; locus_cov=0.04,—
Colubridae,Masticophis_lateralis,C9B,Masticophis_lateralis_C9B,1743,580,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=20; locus_cov=0.04,—
Colubridae,Pantherophis_obsoletus,C9A,Pantherophis_obsoletus_C9A,1752,583,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Colubridae,Pantherophis_obsoletus,C9B,Pantherophis_obsoletus_C9B,1596,532,10,"DEGRADED (ATG; C-terminal truncation, exon 11 lost; in-frame TAG stop immediately downstream of exon 10 [intronic ~11,632,733]; 0 internal stops)",no,,NA,NA
Colubridae,Pantherophis_obsoletus,C9C,Pantherophis_obsoletus_C9C,1752,583,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Colubridae,Pituophis_catenifer,C9A,Pituophis_catenifer_C9A,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=71838; locus_cov=1.00,—
Colubridae,Pituophis_catenifer,C9B,Pituophis_catenifer_C9B,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=5293; locus_cov=0.62,—
Colubridae,Pituophis_catenifer,C9C,Pituophis_catenifer_C9C,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=20; locus_cov=0.10,—
Colubridae,Ptyas_mucosa,C9A,Ptyas_mucosa_C9A,1752,583,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Colubridae,Ptyas_mucosa,C9B,Ptyas_mucosa_C9B,1746,581,11,intact (ATG start / stop / 0 internal),no,,NA,NA
Colubridae,Thamnophis_elegans,C9A,Thamnophis_elegans_C9A,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=563437; locus_cov=1.00,"CONFIRMED_exact (pid=98.63%,cov=1.000)"
Colubridae,Thamnophis_elegans,C9B,Thamnophis_elegans_C9B,1746,581,11,intact (ATG start / stop / 0 internal),yes,liver,intact; reads=3207; locus_cov=1.00,"CHIMERIC_consensus:NOT_rnaseq-confirmable(genome/NCBI-validated) (pid=NA%,cov=NA)"
Viperidae,Bothrops_jararaca,C9A,Bothrops_jararaca_C9A,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver;lung,intact; reads=0; locus_cov=0.00,—
Viperidae,Bothrops_jararaca,C9B,Bothrops_jararaca_C9B,1752,583,11,intact (ATG start / stop / 0 internal),yes,liver;lung,intact; reads=0; locus_cov=0.00,—
