copy,species,clade,n_exons,cds_len,status,flags,exon_lengths
Laudakia_wui_C9A,Laudakia_wui,Iguania_Acrodonta,11,1776,FLAG,"ex6=228(clade252,-24)","77,94,145,148,139,228,241,126,182,229,167"
Liasis_olivaceus_C9A,Liasis_olivaceus,Serpentes,11,1749,PASS,"","77,94,148,148,139,213,241,126,182,229,152"
Malpolon_monspessulanus_C9A,Malpolon_monspessulanus,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Malpolon_monspessulanus_C9B,Malpolon_monspessulanus,Serpentes,11,1749,PASS,"","74,94,148,148,139,213,241,126,182,229,155"
Masticophis_lateralis_C9A,Masticophis_lateralis,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Masticophis_lateralis_C9B,Masticophis_lateralis,Serpentes,11,1743,FLAG,"ex9=173(clade182,-9)","77,94,148,148,139,213,241,126,173,229,155"
Mediodactylus_kotschyi_C9A,Mediodactylus_kotschyi,Gekkota,11,1752,FLAG,"ex6=213(clade219,-6);ex8=105(clade126,-21);ex10=220(clade229,-9)","77,118,148,151,139,213,241,105,182,220,158"
Naja_naja_C9A,Naja_naja,Serpentes,11,1749,PASS,"","77,94,148,148,139,213,237,126,182,228,157"
Naja_naja_C9B,Naja_naja,Serpentes,11,1747,FLAG,"frameshift(mod3!=0)","77,94,148,148,139,213,237,126,182,228,155"
Notechis_scutatus_C9A,Notechis_scutatus,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Notechis_scutatus_C9B,Notechis_scutatus,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,129,182,229,152"
Pantherophis_obsoletus_C9A,Pantherophis_obsoletus,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Pantherophis_obsoletus_C9B,Pantherophis_obsoletus,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Pantherophis_obsoletus_C9C,Pantherophis_obsoletus,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Phrynosoma_blainvillii_C9A,Phrynosoma_blainvillii,Iguania_Pleurodonta,11,1779,PASS,"","77,94,145,148,139,228,241,126,182,229,170"
Pituophis_catenifer_C9A,Pituophis_catenifer,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Pituophis_catenifer_C9B,Pituophis_catenifer,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Pituophis_catenifer_C9C,Pituophis_catenifer,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Plestiodon_gilberti_C9A,Plestiodon_gilberti,Scincidae,11,1779,FLAG,"ex6=225(clade219,+6)","77,94,145,154,139,225,241,126,182,229,167"
Podarcis_muralis_C9A,Podarcis_muralis,Lacertidae,11,1770,PASS,"","77,91,145,148,139,225,242,126,182,229,166"
Podarcis_raffonei_C9A,Podarcis_raffonei,Lacertidae,11,1770,PASS,"","77,91,145,148,139,225,241,126,182,229,167"
Pogona_vitticeps_C9A,Pogona_vitticeps,Iguania_Acrodonta,11,1731,FLAG,"ex6=228(clade252,-24);ex11=122(clade167,-45)","77,94,145,148,139,228,241,126,182,229,122"
Protobothrops_mucrosquamatus_C9A,Protobothrops_mucrosquamatus,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Protobothrops_mucrosquamatus_C9B,Protobothrops_mucrosquamatus,Serpentes,3,564,FLAG,"nexon=3","180,229,155"
Pseudonaja_textilis_C9A,Pseudonaja_textilis,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Pseudonaja_textilis_C9B,Pseudonaja_textilis,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,129,182,229,152"
Ptyas_mucosa_C9A,Ptyas_mucosa,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Ptyas_mucosa_C9B,Ptyas_mucosa,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Python_bivittatus_C9A,Python_bivittatus,Serpentes,11,1749,PASS,"","77,94,148,148,139,213,241,126,182,229,152"
Rhineura_floridana_C9A,Rhineura_floridana,Amphisbaenia,11,1755,PASS,"","77,94,145,148,139,222,241,126,176,229,158"
Sceloporus_undulatus_C9A,Sceloporus_undulatus,Iguania_Pleurodonta,11,1776,PASS,"","77,94,145,148,139,228,241,126,182,229,167"
Teratoscincus_roborowskii_C9A,Teratoscincus_roborowskii,Gekkota,11,1827,FLAG,"ex6=249(clade219,+30);ex11=170(clade158,+12)","77,118,145,151,139,249,241,126,182,229,170"
Thamnophis_elegans_C9A,Thamnophis_elegans,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Thamnophis_elegans_C9B,Thamnophis_elegans,Serpentes,11,1746,FLAG,"ex6=207(clade213,-6)","77,94,148,148,139,207,241,126,182,229,155"
Vipera_berus_C9A,Vipera_berus,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Vipera_berus_C9B,Vipera_berus,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Vipera_seoanei_C9A,Vipera_seoanei,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Vipera_seoanei_C9B,Vipera_seoanei,Serpentes,11,1752,PASS,"","77,94,148,148,139,213,241,126,182,229,155"
Xantusia_vigilis_C9A,Xantusia_vigilis,Xantusiidae,11,1752,PASS,"","77,85,148,148,139,225,241,126,182,226,155"
Zootoca_vivipara_C9A,Zootoca_vivipara,Lacertidae,11,1770,PASS,"","77,91,145,148,139,225,241,126,182,229,167"
