clade,species,copy,n_exons,protein_aa,ORF_status,category,in_MACSE_alignment,notes
Iguania,Anolis_carolinensis,C9B,11,591,intact (ATG start / stop / 0 internal),functional,yes,
Iguania,Anolis_sagrei,C9A,10,537,"MEANINGFUL TRUNCATED ORF: 10 exons, lost exon 11; read-through in-frame TAG stop immediately past exon 10; 537 aa; 0 internal stops",functional (C-terminal truncation),yes,Kept (lost only exon 11; parallels A. carolinensis C9A). MAIN cds/exon_10/pep now terminate at an in-frame TAG read-through stop (537 aa).
Iguania,Anolis_sagrei,C9B,11,590,intact (ATG start / stop / 0 internal),functional,yes,
Iguania,Bradypodion_pumilum,C9A,11,598,intact (ATG start / stop / 0 internal),functional,yes,
Iguania,Cyclura_pinguis,C9A,11,594,intact (ATG start / stop / 0 internal),functional,yes,
Iguania,Furcifer_pardalis,C9A,11,596,intact (ATG start / stop / 0 internal),functional,yes,
Iguania,Gambelia_wislizenii,C9A,11,591,intact (ATG start / stop / 0 internal),functional,yes,
Iguania,Laudakia_wui,C9A,11,591,intact (ATG start / stop / 0 internal),functional,yes,
Iguania,Phrynosoma_blainvillii,C9A,11,592,intact (ATG start / stop / 0 internal),functional,yes,
Iguania,Pogona_vitticeps,C9A,11,599,intact (ATG start / stop / 0 internal),functional,yes,
Iguania,Sceloporus_undulatus,C9A,11,591,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Arizona_elegans,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Arizona_elegans,C9B,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Arizona_elegans,C9C,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Chrysopelea_ornata,C9A,11,584,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Chrysopelea_ornata,C9B (fragment),~2,~120,FRAGMENT (no start/stop recoverable),fragment,no,"genuine FYB1-proximal C9B ortholog (~120 aa, exons ~6-7) but unassembled on a 1221-bp UNPLACED contig JAHWGE011068518.1; genome is Scaffold-level (1.12M scaffolds, no chromosome-level assembly). Assembly artifact, not a pseudogene."
Colubridae,Hemorrhois_hippocrepis,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Hemorrhois_hippocrepis,C9B,11,582,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Hemorrhois_hippocrepis,C9C,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Malpolon_monspessulanus,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Malpolon_monspessulanus,C9B,11,582,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Masticophis_lateralis,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Masticophis_lateralis,C9B,11,580,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Pantherophis_obsoletus,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Pantherophis_obsoletus,C9B,10,532,"MEANINGFUL TRUNCATED ORF: exons 1-10, lost exon 11; read-through in-frame TAG stop immediately past exon 10; 533 aa; 0 internal stops",functional (C-terminal truncation),yes,Kept (lost only exon 11). MAIN cds/exon_10/pep now terminate at an in-frame TAG read-through stop (533 aa). SRA-confirmed the exon-11 deletion is genuine.
Colubridae,Pantherophis_obsoletus,C9C,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Pantherophis_obsoletus,C9_alt1 (fragment),NA,NA,"FRAGMENT (partial C9 hit, other scaffold)",fragment,no,"partial C9 segment on UNPLACED scaffold WJSR01015476.1; assembly is Scaffold-level (36,795 scaffolds, no chromosome-level available). Assembly artifact (unanchored piece)."
Colubridae,Pantherophis_obsoletus,C9_alt2 (fragment),NA,NA,"FRAGMENT (partial C9 hit, other scaffold)",fragment,no,"partial C9 segment on UNPLACED scaffold WJSR01023848.1; assembly is Scaffold-level (36,795 scaffolds, no chromosome-level available). Assembly artifact (unanchored piece)."
Colubridae,Pituophis_catenifer,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Pituophis_catenifer,C9B,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Pituophis_catenifer,C9C,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Ptyas_mucosa,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Ptyas_mucosa,C9B,11,581,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Thamnophis_elegans,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Colubridae,Thamnophis_elegans,C9B,11,581,intact (ATG start / stop / 0 internal),functional,yes,
Viperidae,Bothrops_jararaca,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Viperidae,Bothrops_jararaca,C9B,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Viperidae,Bothrops_jararaca,C9_alt (fragment),NA,NA,"FRAGMENT (partial C9 hit, other scaffold)",fragment,no,"partial C9 segment on UNPLACED scaffold JAGTXL010003666.1; assembly is Scaffold-level (27,698 scaffolds, no chromosome-level available). Assembly artifact (C9A+C9B both intact)."
Viperidae,Crotalus_adamanteus,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Viperidae,Crotalus_adamanteus,C9B,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Viperidae,Crotalus_tigris,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Viperidae,Crotalus_tigris,C9B,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Viperidae,Protobothrops_mucrosquamatus,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Viperidae,Protobothrops_mucrosquamatus,C9B,4,229,DEGRADED (noATG; stop; 0 internal stops),pseudogene/remnant (MOVED to Pseudogenes/),no,5'-truncated remnant (exons 8-11; lost exons 1-7; read-confirmed genuine). MOVED to Pseudogenes/Protobothrops_mucrosquamatus_C9B/.
Viperidae,Vipera_berus,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Viperidae,Vipera_berus,C9B,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Viperidae,Vipera_seoanei,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Viperidae,Vipera_seoanei,C9B,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Elapidae,Bungarus_multicinctus,C9A,11,584,intact (ATG start / stop / 0 internal),functional,yes,
Elapidae,Bungarus_multicinctus,C9B,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Elapidae,Hydrophis_cyanocinctus,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Elapidae,Hydrophis_cyanocinctus,C9B,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Elapidae,Hydrophis_major,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Elapidae,Hydrophis_major,C9B,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Elapidae,Laticauda_colubrina,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Elapidae,Laticauda_colubrina,C9B,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Elapidae,Naja_naja,C9A,11,584,intact (ATG start / stop / 0 internal),functional,yes,
Elapidae,Naja_naja,C9B,11,583,intact (ATG start / stop / 0 internal),functional,yes,"COMPLETE functional gene; corrected via SRA-read blast (Illumina WGS) — the prior '25 internal stops' were a frameshift artifact from ~5 bp assembly deletion errors (exon 7 -4 bp, exon 10 -1 bp). Old erroneous copy kept as Naja_naja_C9B_pseudogene.*. Naja = genuine two-copy species (C9A + C9B)."
Elapidae,Naja_naja,C9_alt (fragment),NA,NA,"FRAGMENT (partial C9 hit, other scaffold)",fragment,no,"partial C9 segment on UNPLACED WGS scaffold SOZL01000598.1. Assembly is CHROMOSOME-level (GCA_009733165.1, 19 chromosomes) yet the fragment is NOT on any of the 19 chromosomes -> unanchored duplicate/haplotig = assembly artifact, not a real independent copy. (C9A + C9B both functional.)"
Elapidae,Notechis_scutatus,C9A,11,584,intact (ATG start / stop / 0 internal),functional,yes,
Elapidae,Notechis_scutatus,C9B,11,583,intact (ATG start / stop / 0 internal),functional,yes,"COMPLETE functional gene; exon 1 & 2 recovered from Illumina WGS reads (ERR2714264), resolving the assembly gap. Was previously mis-called 5-exon remnant / near-intact. Notechis = genuine two-copy species (C9A + C9B both functional)."
Elapidae,Notechis_scutatus,C9_alt (fragment),NA,NA,"FRAGMENT (partial C9 hit, other scaffold)",fragment,no,"partial C9 segment on UNPLACED scaffold NW_020719678.1 - the SAME orphan scaffold that carries C9B exons 2-6, so this 'C9_alt' is largely the split C9B locus. Our RefSeq assembly is Scaffold-level; a chromosome-level Notechis assembly now exists (GCA_049901735.1, 17 chr). Assembly artifact."
Elapidae,Pseudonaja_textilis,C9A,11,584,intact (ATG start / stop / 0 internal),functional,yes,
Elapidae,Pseudonaja_textilis,C9B,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Boidae/Pythonidae,Candoia_aspera,C9A,11,583,intact (ATG start / stop / 0 internal),functional,yes,
Boidae/Pythonidae,Liasis_olivaceus,C9A,11,582,intact (ATG start / stop / 0 internal),functional,yes,
Boidae/Pythonidae,Python_bivittatus,C9A,11,582,intact (ATG start / stop / 0 internal),functional,yes,
